	params	train_accuracy	train_sensitivity	train_specificity	validation_accuracy	validation_sensitivity	validation_specificity
3	{'penalty': 'l2', 'solver': 'liblinear', 'C': 1, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9719265566790847	0.8906344410876132	0.9948814195529773	0.9658597144630664	0.857566765578635	0.9945054945054945
8	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 1, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9719265566790847	0.8906344410876132	0.9948814195529773	0.9658597144630664	0.857566765578635	0.9945054945054945
4	{'penalty': 'l2', 'solver': 'liblinear', 'C': 10, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9720596061734965	0.8912386706948641	0.9948814195529773	0.9652389819987586	0.857566765578635	0.9937205651491365
9	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 10, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9719265566790847	0.8906344410876132	0.9948814195529773	0.9652389819987586	0.857566765578635	0.9937205651491365
2	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.1, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9715274081958488	0.8882175226586103	0.9950520389012114	0.9646182495344506	0.8516320474777448	0.9945054945054945
7	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.1, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.971394358701437	0.8876132930513595	0.9950520389012114	0.9646182495344506	0.8516320474777448	0.9945054945054945
1	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9686003193187865	0.8706948640483384	0.99624637433885	0.9621353196772191	0.8338278931750742	0.9960753532182104
0	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.001, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9683342203299627	0.8719033232628399	0.9955638969459136	0.9615145872129113	0.8397626112759644	0.9937205651491365
6	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.01, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9684672698243747	0.8706948640483384	0.996075754990616	0.9615145872129113	0.8367952522255193	0.9945054945054945
5	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.001, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9643427354976051	0.8477341389728097	0.9972700904282545	0.9584109248913718	0.8130563798219584	0.9968602825745683
