	params	train_accuracy	train_sensitivity	train_specificity	validation_accuracy	validation_sensitivity	validation_specificity
2	{'reg_param': 0.2}	0.9586216072378925	0.8465256797583082	0.9902746971506569	0.9503414028553694	0.798219584569733	0.9905808477237049
1	{'reg_param': 0.1}	0.9595529536987759	0.8525679758308157	0.9897628391059546	0.9497206703910615	0.8041543026706232	0.9882260596546311
3	{'reg_param': 0.3}	0.9562267163384779	0.8404833836858006	0.9889097423647841	0.9490999379267536	0.7922848664688428	0.9905808477237049
0	{'reg_param': 0}	0.9614156466205428	0.8833836858006042	0.9834499232212933	0.946617008069522	0.8249258160237388	0.978806907378336
4	{'reg_param': 0.4}	0.9532996274614156	0.8350453172205438	0.986691690837741	0.9441340782122905	0.7863501483679525	0.9858712715855573
9	{'reg_param': 0.9}	0.9550292708887707	0.8652567975830816	0.9803787749530797	0.9441340782122905	0.8249258160237388	0.9756671899529042
8	{'reg_param': 0.8}	0.954364023416711	0.859214501510574	0.9812318716942501	0.9428926132836747	0.8130563798219584	0.9772370486656201
5	{'reg_param': 0.5}	0.9513038850452368	0.8332326283987915	0.9846442586589319	0.9416511483550589	0.7804154302670623	0.9843014128728415
7	{'reg_param': 0.7}	0.9518360830228845	0.8447129909365559	0.9820849684354206	0.9410304158907511	0.7952522255192879	0.9795918367346939
6	{'reg_param': 0.6}	0.9513038850452368	0.8374622356495468	0.9834499232212933	0.9397889509621353	0.7863501483679525	0.9803767660910518
