	params	train_accuracy	train_sensitivity	train_specificity	validation_accuracy	validation_sensitivity	validation_specificity
0	{'reg_param': 0}	0.9119471276054906	0.8276964047936085	0.9639802631578948	0.9207403891789274	0.8408215661103979	0.9676204819277109
1	{'reg_param': 0.1}	0.9064565327910523	0.7762982689747004	0.9868421052631579	0.9140958709065021	0.7881899871630296	0.9879518072289156
2	{'reg_param': 0.2}	0.9033045246568379	0.7643142476697736	0.9891447368421052	0.9084005695301376	0.7715019255455713	0.9887048192771084
8	{'reg_param': 0.8}	0.9000508388408744	0.7464713715046605	0.9949013157894737	0.9041290934978643	0.7535301668806161	0.9924698795180723
9	{'reg_param': 0.9}	0.9016776817488561	0.7507323568575233	0.9949013157894737	0.9041290934978643	0.7535301668806161	0.9924698795180723
3	{'reg_param': 0.3}	0.8999491611591256	0.7541944074567244	0.9899671052631579	0.9027052681537732	0.754813863928113	0.9894578313253012
4	{'reg_param': 0.4}	0.8993390950686324	0.7496671105193076	0.9917763157894737	0.8993830090175605	0.7445442875481386	0.990210843373494
5	{'reg_param': 0.5}	0.8980172852058973	0.744074567243675	0.9930921052631579	0.8993830090175605	0.7419768934531451	0.9917168674698795
6	{'reg_param': 0.6}	0.8973055414336553	0.7416777629826897	0.993421052631579	0.8989084005695301	0.7406931964056482	0.9917168674698795
7	{'reg_param': 0.7}	0.8975088967971531	0.7414114513981358	0.9939144736842105	0.8984337921214998	0.7394094993581515	0.9917168674698795
