	params	train_accuracy	train_sensitivity	train_specificity	validation_accuracy	validation_sensitivity	validation_specificity
1	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9415353329944077	0.884953395472703	0.9764802631578947	0.946843853820598	0.889602053915276	0.9804216867469879
3	{'penalty': 'l2', 'solver': 'liblinear', 'C': 1, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9464158617183528	0.9102529960053263	0.96875	0.9435215946843853	0.8998716302952503	0.9691265060240963
6	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.01, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9398068124046772	0.8719041278295606	0.9817434210526316	0.9435215946843853	0.8767650834403081	0.9826807228915663
2	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.1, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9459074733096086	0.9046604527296938	0.9713815789473684	0.943046986236355	0.8934531450577664	0.9721385542168675
7	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.1, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9460091509913574	0.9041278295605859	0.971875	0.9425723777883246	0.8934531450577664	0.9713855421686747
8	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 1, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9465175394001016	0.9105193075898802	0.96875	0.9425723777883246	0.8985879332477535	0.9683734939759037
4	{'penalty': 'l2', 'solver': 'liblinear', 'C': 10, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9461108286731063	0.9097203728362184	0.9685855263157894	0.9420977693402942	0.8998716302952503	0.9668674698795181
9	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 10, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9461108286731063	0.9097203728362184	0.9685855263157894	0.9420977693402942	0.8998716302952503	0.9668674698795181
0	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.001, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9209964412811388	0.8681757656458056	0.9536184210526316	0.9288087327954437	0.8754813863928113	0.9600903614457831
5	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.001, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.921606507371632	0.8133155792276964	0.9884868421052632	0.92406264831514	0.8177150192554558	0.9864457831325302
