	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
3	{'penalty': 'l2', 'solver': 'liblinear', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9635645969333536	0.8737446197991392	0.9741935483870968	0.8159445622779358	0.9588944011339475	0.8516129032258064	0.9721337579617835	0.7974177716847539
8	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9635645969333536	0.8737446197991392	0.9741935483870968	0.8159445622779358	0.9588944011339475	0.8516129032258064	0.9721337579617835	0.7974177716847539
4	{'penalty': 'l2', 'solver': 'liblinear', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.958251100652801	0.890961262553802	0.966213921901528	0.7986596143437937	0.9546420978029766	0.8580645161290322	0.9665605095541401	0.7823280819451206
9	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.958251100652801	0.890961262553802	0.966213921901528	0.7986596143437937	0.9546420978029766	0.8580645161290322	0.9665605095541401	0.7823280819451206
2	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9653863670866859	0.8292682926829268	0.9814940577249576	0.8159494145166571	0.9525159461374911	0.7548387096774194	0.9769108280254777	0.7512793207267138
7	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9649309245483528	0.8249641319942611	0.9814940577249576	0.8131889162416975	0.9525159461374911	0.7548387096774194	0.9769108280254777	0.7512793207267138
5	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9655381812661302	0.7374461979913917	0.9925297113752122	0.8063857096548565	0.9532246633593197	0.6580645161290323	0.9896496815286624	0.7402742868288424
1	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9661454379839077	0.793400286944046	0.9865874363327674	0.814633717555257	0.9518072289156626	0.7032258064516129	0.982484076433121	0.7388570897383497
6	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9653863670866859	0.7733142037302726	0.9881154499151104	0.8085692500288136	0.9510985116938342	0.6774193548387096	0.9848726114649682	0.7314927730602715
0	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9489904357066951	0.8220946915351507	0.964006791171477	0.7463266697212262	0.9347980155917789	0.7483870967741936	0.9578025477707006	0.6801079686703799
