	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
3	{'penalty': 'l2', 'solver': 'liblinear', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.939177311613735	0.8679716784673053	0.967058056099152	0.8478621101868301	0.9343903772553308	0.8659217877094972	0.9628482972136223	0.8401674248761476
8	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.939177311613735	0.8679716784673053	0.967058056099152	0.8478621101868301	0.9343903772553308	0.8659217877094972	0.9628482972136223	0.8401674248761476
4	{'penalty': 'l2', 'solver': 'liblinear', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9330833235673268	0.8829654310703874	0.9527071102413568	0.8347234884749088	0.9338436303991252	0.8770949720670391	0.9574303405572755	0.8396394469074052
9	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9330833235673268	0.8829654310703874	0.9527071102413568	0.8347234884749088	0.9338436303991252	0.8770949720670391	0.9574303405572755	0.8396394469074052
7	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9191374663072777	0.7642648896293212	0.9797782126549249	0.7955421232992718	0.9097867687260798	0.7467411545623837	0.9775541795665634	0.7778413064022868
2	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9192546583850931	0.7659308621407747	0.9792889758643183	0.7958043260488966	0.9092400218698743	0.7467411545623837	0.9767801857585139	0.7763856936187338
1	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9027305754131021	0.690545605997501	0.985812133072407	0.7540584036913847	0.8988518316019682	0.6945996275605214	0.9837461300309598	0.7514419762102573
6	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9019102308683933	0.6838817159516868	0.987279843444227	0.752299563141355	0.8977583378895572	0.6871508379888268	0.9852941176470589	0.7490784213099537
0	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9000351576233446	0.6984589754269055	0.9789628180039139	0.7457387845641966	0.8944778567523237	0.7001862197392924	0.9752321981424149	0.7388634412785138
5	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.8925348646431501	0.641399416909621	0.9908675799086758	0.7291138959406918	0.8879168944778567	0.6368715083798883	0.9922600619195047	0.7267721876641215
