	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
0	{'reg_param': 0}	0.9417033550933657	0.8464849354375896	0.9529711375212224	0.7273795372140561	0.9326718639262934	0.7935483870967742	0.9498407643312102	0.6871512981655528
1	{'reg_param': 0.1}	0.935478973736147	0.39741750358680056	0.9991511035653651	0.6025946461364308	0.9355067328136074	0.4129032258064516	1.0	0.6204905330209312
2	{'reg_param': 0.2}	0.9254592378928191	0.296987087517934	0.999830220713073	0.5221019197913591	0.9241672572643516	0.3096774193548387	1.0	0.534197266487647
3	{'reg_param': 0.3}	0.9152876878700471	0.20086083213773315	0.999830220713073	0.42652779825073506	0.9128277817150957	0.2064516129032258	1.0	0.43363250231938066
4	{'reg_param': 0.4}	0.9078487930772734	0.1291248206599713	1.0	0.34214175573882355	0.9050318922749823	0.13548387096774195	1.0	0.3498897482419405
5	{'reg_param': 0.5}	0.899650827387278	0.05164992826398852	1.0	0.2154957497877808	0.892983699503898	0.025806451612903226	1.0	0.15177908052919364
6	{'reg_param': 0.6}	0.8970699863367239	0.027259684361549498	1.0	0.15635129646550538	0.891566265060241	0.012903225806451613	1.0	0.10724781968962493
7	{'reg_param': 0.7}	0.8950964020039471	0.00860832137733142	1.0	0.08777502021073706	0.8908575478384124	0.0064516129032258064	1.0	0.07580876372199906
8	{'reg_param': 0.8}	0.8944891452861697	0.0028694404591104736	1.0	0.05066153758181332	0.890148830616584	0.0	1.0	
9	{'reg_param': 0.9}	0.894185516927281	0.0	1.0		0.890148830616584	0.0	1.0	
