	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
0	{'reg_param': 0}	0.9184343138403844	0.821740941274469	0.9562948467058056	0.7950262016901176	0.9037725533078185	0.8026070763500931	0.9458204334365325	0.7642760345825093
1	{'reg_param': 0.1}	0.8423766553380991	0.4414827155351937	0.9993476842791911	0.6000212693677077	0.8419901585565883	0.4618249534450652	1.0	0.6143332469427265
2	{'reg_param': 0.2}	0.8210476971756709	0.36526447313619326	0.9995107632093934	0.5393433246225301	0.8157463094587206	0.37243947858473	1.0	0.5434987751212511
3	{'reg_param': 0.3}	0.8055783429040196	0.30987088713036237	0.9996738421395955	0.492794742219373	0.8015308911973756	0.3240223463687151	1.0	0.5029441245826352
4	{'reg_param': 0.4}	0.793038790577757	0.2653061224489796	0.9996738421395955	0.4527007361660673	0.7884089666484417	0.27932960893854747	1.0	0.4636223835853998
5	{'reg_param': 0.5}	0.7815539669518341	0.22407330279050397	0.9998369210697978	0.4138992340549389	0.7731000546746856	0.2271880819366853	1.0	0.41467444183798957
6	{'reg_param': 0.6}	0.7660846126801828	0.16867971678467306	1.0	0.3567308405973877	0.7561509021323127	0.16945996275605213	1.0	0.35492772395161004
7	{'reg_param': 0.7}	0.7574123989218329	0.13785922532278216	1.0	0.3210399709848012	0.7474029524330235	0.13966480446927373	1.0	0.32074504146956034
8	{'reg_param': 0.8}	0.7470994960740653	0.10120783007080383	1.0	0.27360930603970374	0.7342810278840897	0.09497206703910614	1.0	0.26270196645680605
9	{'reg_param': 0.9}	0.7397163951716864	0.07496876301541025	1.0	0.23459567699880252	0.7277200656096228	0.07262569832402235	1.0	0.22895487862007047
