	params	train_accuracy	train_sensitivity	train_specificity	validation_accuracy	validation_sensitivity	validation_specificity
67	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9774275546517539	0.9675099866844208	0.9835526315789473	0.9558614143331752	0.9345314505776636	0.9683734939759037
71	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9741738688357905	0.9651131824234355	0.9797697368421052	0.9553868058851448	0.9370988446726572	0.9661144578313253
75	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9727503812913065	0.9637816245006657	0.9782894736842105	0.9553868058851448	0.9370988446726572	0.9661144578313253
147	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9774275546517539	0.9677762982689747	0.9833881578947369	0.9549121974371144	0.9332477535301669	0.9676204819277109
155	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.97244534824606	0.9635153129161118	0.9779605263157894	0.9549121974371144	0.9358151476251605	0.9661144578313253
63	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9821047280122013	0.9715046604527297	0.9886513157894737	0.9549121974371144	0.9319640564826701	0.9683734939759037
151	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.974580579562786	0.9653794940079894	0.9802631578947368	0.9549121974371144	0.9370988446726572	0.9653614457831325
79	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9707168276563294	0.9619174434087883	0.9761513157894737	0.9549121974371144	0.9358151476251605	0.9661144578313253
159	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9706151499745805	0.9619174434087883	0.9759868421052632	0.954437588989084	0.9358151476251605	0.9653614457831325
142	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9779359430604982	0.9645805592543276	0.9861842105263158	0.954437588989084	0.9293966623876765	0.9691265060240963
62	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9778342653787494	0.9645805592543276	0.9860197368421053	0.954437588989084	0.9319640564826701	0.9676204819277109
143	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9820030503304524	0.9707057256990679	0.9889802631578948	0.954437588989084	0.9306803594351734	0.9683734939759037
127	{'n_estimators': 1000, 'max_depth': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9676664972038638	0.9571238348868176	0.9741776315789473	0.9539629805410537	0.9332477535301669	0.9661144578313253
43	{'n_estimators': 500, 'max_depth': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.969598373157092	0.9587217043941412	0.9763157894736842	0.9539629805410537	0.9332477535301669	0.9661144578313253
51	{'n_estimators': 500, 'max_depth': 8, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9671581087951194	0.9563249001331557	0.9738486842105263	0.9539629805410537	0.9358151476251605	0.9646084337349398
123	{'n_estimators': 1000, 'max_depth': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9701067615658363	0.9589880159786951	0.9769736842105263	0.9534883720930233	0.9332477535301669	0.9653614457831325
131	{'n_estimators': 1000, 'max_depth': 8, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9670564311133706	0.9565912117177097	0.9735197368421052	0.9534883720930233	0.9358151476251605	0.963855421686747
122	{'n_estimators': 1000, 'max_depth': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9682765632943569	0.9557922769640479	0.9759868421052632	0.9530137636449929	0.9332477535301669	0.9646084337349398
