	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
4	{'penalty': 'l2', 'solver': 'liblinear', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9517230909366935	0.9081779053084649	0.9568760611205432	0.7795033760687187	0.9447200566973778	0.8580645161290322	0.9554140127388535	0.7468618194489801
9	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9517230909366935	0.9081779053084649	0.9568760611205432	0.7795033760687187	0.9440113394755493	0.8580645161290322	0.9546178343949044	0.7444694218919203
3	{'penalty': 'l2', 'solver': 'liblinear', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.952785790192804	0.9024390243902439	0.9587436332767403	0.7816331177096678	0.9433026222537207	0.8451612903225807	0.9554140127388535	0.7383314108964496
8	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.952785790192804	0.9010043041606887	0.9589134125636672	0.7812449278592566	0.9433026222537207	0.8451612903225807	0.9554140127388535	0.7383314108964496
7	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9500531349628055	0.890961262553802	0.9570458404074703	0.7689280394995587	0.9411764705882353	0.8580645161290322	0.9514331210191083	0.7350723723581828
2	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9491422498861394	0.8923959827833573	0.9558573853989814	0.7661918221489366	0.9397590361445783	0.8580645161290322	0.9498407643312102	0.7304742998379388
1	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9385152573250342	0.8923959827833573	0.9439728353140917	0.7316551517873956	0.923458540042523	0.8387096774193549	0.9339171974522293	0.6748577948513942
6	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9433733110672536	0.8708751793400287	0.9519524617996604	0.7403972480202875	0.9255846917080085	0.8064516129032258	0.9402866242038217	0.6694867551765926
5	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9289509640200395	0.8550932568149211	0.9376910016977928	0.6902290840218123	0.9092841956059532	0.7612903225806451	0.927547770700637	0.6063905823988422
0	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.7856383786245635	0.93974175035868	0.767402376910017	0.471402434623203	0.7604535790219702	0.9225806451612903	0.7404458598726115	0.4401286969777851
