	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
3	{'penalty': 'l2', 'solver': 'liblinear', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9295675612328607	0.8987921699291962	0.941617742987606	0.8287871242417596	0.9278294149808639	0.9124767225325885	0.9342105263157895	0.8305365096569607
8	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9298019453884917	0.8992086630570596	0.9417808219178082	0.8293586808737226	0.9278294149808639	0.9124767225325885	0.9342105263157895	0.8305365096569607
4	{'penalty': 'l2', 'solver': 'liblinear', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9296847533106762	0.9021241149521033	0.9404761904761905	0.8295158661900611	0.9267359212684527	0.9124767225325885	0.9326625386996904	0.8282407726273141
9	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9296847533106762	0.9021241149521033	0.9404761904761905	0.8295158661900611	0.9267359212684527	0.9124767225325885	0.9326625386996904	0.8282407726273141
7	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9319114027891715	0.8733860891295293	0.9548271363339856	0.8310819595313151	0.9229086932750137	0.8677839851024208	0.9458204334365325	0.814048051081736
2	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9319114027891715	0.8758850478967097	0.9538486627527724	0.8313215945929103	0.9218151995626025	0.8696461824953445	0.9434984520123839	0.8118258235420384
1	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9082386030704325	0.8188254893794252	0.9432485322896281	0.7708188997884763	0.900492072170585	0.8100558659217877	0.9380804953560371	0.7575265619920278
6	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9082386030704325	0.8059142024156601	0.9483039791258969	0.7694768542191409	0.8999453253143794	0.7932960893854749	0.9442724458204335	0.7546004883581903
5	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.8941755537325676	0.7621824239900041	0.9458577951728636	0.7320208204219167	0.8835429196282122	0.7467411545623837	0.9404024767801857	0.712236625181467
0	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.8635884214227119	0.8608912952936276	0.8646444879321592	0.6889635562847546	0.8556588299617277	0.8361266294227188	0.8637770897832817	0.6720528835697095
