	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
0	{'reg_param': 0}	0.9623500834977987	0.8852223816355811	0.9714770797962649	0.8133525633369308	0.9603118355776046	0.8387096774193549	0.9753184713375797	0.800630530632045
2	{'reg_param': 0.2}	0.9690299073933505	0.7302725968436155	0.997283531409168	0.8263288616743147	0.9581856839121191	0.632258064516129	0.9984076433121019	0.7685259562989538
1	{'reg_param': 0.1}	0.9706998633672385	0.763271162123386	0.9952461799660441	0.8365558523443128	0.9567682494684621	0.6451612903225806	0.9952229299363057	0.759701706974777
3	{'reg_param': 0.3}	0.96204645513891	0.6571018651362984	0.9981324278438031	0.78375350811971	0.9503897944720057	0.5548387096774193	0.9992038216560509	0.7202780078935239
4	{'reg_param': 0.4}	0.9547593745255807	0.5868005738880918	0.99830220713073	0.7374405331670718	0.9461374911410347	0.5161290322580645	0.9992038216560509	0.6927557986579067
5	{'reg_param': 0.5}	0.9464095946561408	0.5078909612625538	0.99830220713073	0.6814589876227849	0.9404677533664068	0.4645161290322581	0.9992038216560509	0.654676818184736
6	{'reg_param': 0.6}	0.9427660543494762	0.4720229555236729	0.998471986417657	0.6559419141851903	0.9376328844790929	0.432258064516129	1.0	0.6355748997159985
7	{'reg_param': 0.7}	0.9356307879155913	0.3988522238163558	0.9991511035653651	0.6037531634475126	0.9326718639262934	0.3870967741935484	1.0	0.5998973193579319
8	{'reg_param': 0.8}	0.9313799908911492	0.35724533715925394	0.999320882852292	0.5707092917766067	0.9291282778171509	0.3548387096774194	1.0	0.5732980579428396
9	{'reg_param': 0.9}	0.926218308790041	0.30703012912482064	0.999490662139219	0.5282437792039766	0.9227498228206945	0.2967741935483871	1.0	0.5225664947763473
