	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
0	{'reg_param': 0}	0.9211297316301418	0.8946272386505623	0.9315068493150684	0.8099252932687625	0.9163477310005468	0.8919925512104283	0.9264705882352942	0.8032296210099149
1	{'reg_param': 0.1}	0.9082386030704325	0.7221990837151187	0.9810828440965427	0.767458703904575	0.8993985784581738	0.7150837988826816	0.9760061919504643	0.7514571994847971
4	{'reg_param': 0.4}	0.9014414625571311	0.6897126197417742	0.9843444227005871	0.750377633430184	0.8977583378895572	0.6964618249534451	0.9814241486068112	0.748193092872504
3	{'reg_param': 0.3}	0.9021446150240243	0.6988754685547689	0.9817351598173516	0.7516969437919031	0.8955713504647348	0.7001862197392924	0.9767801857585139	0.7418567458664912
2	{'reg_param': 0.2}	0.9033165358021797	0.7072053311120367	0.9801043705153294	0.7544936859826428	0.8955713504647348	0.7057728119180633	0.9744582043343654	0.7415514645446548
5	{'reg_param': 0.5}	0.899449197234267	0.6809662640566431	0.9849967384213959	0.7453411765607848	0.8939311098961181	0.6815642458100558	0.9821981424148607	0.7387117256045432
6	{'reg_param': 0.6}	0.8979257002226649	0.6730528946272386	0.9859752120026093	0.7416161343805447	0.8928376161837069	0.6722532588454376	0.9845201238390093	0.7365244603440366
7	{'reg_param': 0.7}	0.8967537794445095	0.6655560183256977	0.987279843444227	0.7389194093838263	0.8917441224712958	0.664804469273743	0.9860681114551083	0.7342036496109334
9	{'reg_param': 0.9}	0.8954646665885386	0.6534777176176593	0.9902152641878669	0.7364868444774071	0.8901038819026791	0.6499068901303539	0.989938080495356	0.7313475622107393
8	{'reg_param': 0.8}	0.8960506269776163	0.6593086214077468	0.988747553816047	0.73752883755562	0.8901038819026791	0.6573556797020484	0.9868421052631579	0.7303131471126664
