	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
10	{'n_estimators': 100, 'max_depth': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9813268559283437	0.9053084648493543	0.9903225806451613	0.9007821228446259	0.9702338766832034	0.8193548387096774	0.9888535031847133	0.8426991981232707
20	{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9873994231061181	0.9354375896700143	0.9935483870967742	0.9331320053102089	0.969525159461375	0.8129032258064516	0.9888535031847133	0.838622459480687
21	{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9880066798238956	0.9526542324246772	0.9921901528013582	0.9371892606500095	0.9688164422395464	0.8258064516129032	0.9864649681528662	0.8364904506447347
22	{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9849703962350084	0.9354375896700143	0.9908319185059423	0.9210505452389957	0.9681077250177179	0.8129032258064516	0.9872611464968153	0.8316965421172293
32	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9873994231061181	0.9469153515064562	0.9921901528013582	0.9338142183725471	0.9681077250177179	0.8129032258064516	0.9872611464968153	0.8316965421172293
31	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9927129193866707	0.9713055954088953	0.9952461799660441	0.9617054799784008	0.9681077250177179	0.8129032258064516	0.9872611464968153	0.8316965421172293
33	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9887657507211174	0.9713055954088953	0.9908319185059423	0.9422192267755524	0.9673990077958894	0.8387096774193549	0.98328025477707	0.8314830891294902
30	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9910429634127828	0.9540889526542324	0.9954159592529711	0.9525248184708862	0.9681077250177179	0.7935483870967742	0.9896496815286624	0.8298655382167397
23	{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9855776529527858	0.9497847919655668	0.9898132427843803	0.9251529312370828	0.9673990077958894	0.8258064516129032	0.9848726114649682	0.8298076252820324
34	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9834522544405647	0.9440459110473458	0.9881154499151104	0.9145083912901543	0.9673990077958894	0.8258064516129032	0.9848726114649682	0.8298076252820324
16	{'n_estimators': 100, 'max_depth': 6, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.977227873083346	0.9038737446197992	0.9859083191850594	0.8809392239249776	0.9673990077958894	0.8258064516129032	0.9848726114649682	0.8298076252820324
12	{'n_estimators': 100, 'max_depth': 6, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9795050857750114	0.9024390243902439	0.9886247877758914	0.8916280276746533	0.9673990077958894	0.8193548387096774	0.9856687898089171	0.8290265561643939
14	{'n_estimators': 100, 'max_depth': 6, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9784423865189009	0.9081779053084649	0.9867572156196944	0.8871353691090735	0.9659815733522324	0.8258064516129032	0.98328025477707	0.8232522431558082
