	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
3	{'penalty': 'l2', 'solver': 'liblinear', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9535448610900258	0.8938307030129125	0.9606112054329372	0.7820246266357096	0.9468462083628633	0.8709677419354839	0.9562101910828026	0.7577483099009904
4	{'penalty': 'l2', 'solver': 'liblinear', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.953241232731137	0.8938307030129125	0.9602716468590832	0.7809374162469791	0.9468462083628633	0.8709677419354839	0.9562101910828026	0.7577483099009904
8	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9536966752694702	0.8938307030129125	0.9607809847198642	0.7825695730689466	0.9468462083628633	0.8709677419354839	0.9562101910828026	0.7577483099009904
9	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.953241232731137	0.8938307030129125	0.9602716468590832	0.7809374162469791	0.9468462083628633	0.8709677419354839	0.9562101910828026	0.7577483099009904
5	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9629573402155761	0.8680057388809183	0.9741935483870968	0.8122817370277182	0.9496810772501771	0.8064516129032258	0.9673566878980892	0.7510266242571745
6	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9594656140883558	0.8823529411764706	0.9685908319185059	0.8013148042503722	0.9475549255846917	0.8193548387096774	0.9633757961783439	0.7462590770322806
1	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9561257021405799	0.8880918220946915	0.9641765704584041	0.7899748368981513	0.9454287739192062	0.8387096774193549	0.9585987261146497	0.7438328853181452
2	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9540003036283589	0.890961262553802	0.9614601018675721	0.7829108718901829	0.9440113394755493	0.8516129032258064	0.9554140127388535	0.7426027192591144
7	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9543039319872476	0.890961262553802	0.9617996604414262	0.7840113906805593	0.9433026222537207	0.8451612903225807	0.9554140127388535	0.7383314108964496
0	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9172612722028237	0.9067431850789096	0.9185059422750425	0.6776643743245413	0.9036144578313253	0.8580645161290322	0.9092356687898089	0.6313948058554304
