	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
0	{'reg_param': 0}	0.9166764326731512	0.8171595168679717	0.9556425309849967	0.7904747989767147	0.9015855658829962	0.7932960893854749	0.9465944272445821	0.7584122624528186
3	{'reg_param': 0.3}	0.905777569436306	0.7326114119117034	0.9735812133072407	0.7603091658898565	0.8944778567523237	0.7169459962756052	0.968266253869969	0.7382609262622042
4	{'reg_param': 0.4}	0.905308801125044	0.7309454394002499	0.9735812133072407	0.7590769008795584	0.8933843630399125	0.7169459962756052	0.9667182662538699	0.7353944127925547
1	{'reg_param': 0.1}	0.9054259932028594	0.7413577675968347	0.9696673189823874	0.7592884823674932	0.8928376161837069	0.7281191806331471	0.9613003095975232	0.733986257837413
2	{'reg_param': 0.2}	0.9049572248915974	0.7334443981674302	0.9721135029354208	0.7580910777888834	0.8928376161837069	0.7169459962756052	0.9659442724458205	0.7339672125699088
5	{'reg_param': 0.5}	0.905308801125044	0.73219491878384	0.973091976516634	0.7590538645096825	0.8922908693275013	0.7169459962756052	0.9651702786377709	0.7325440181593417
7	{'reg_param': 0.7}	0.9042540724247041	0.7367763431903374	0.9698303979125897	0.7561930935672795	0.8911973756150902	0.7225325884543762	0.9613003095975232	0.7297393568373283
6	{'reg_param': 0.6}	0.9043712645025196	0.7338608912952936	0.9711350293542075	0.7565199430581222	0.8911973756150902	0.7188081936685289	0.9628482972136223	0.7297128693743679
8	{'reg_param': 0.8}	0.9041368803468885	0.7405247813411079	0.9681996086105675	0.7558908174657979	0.8906506287588847	0.7243947858472998	0.9597523219814241	0.7283730480516009
9	{'reg_param': 0.9}	0.9035509199578109	0.7396917950853811	0.9677103718199609	0.7543469683792001	0.8895571350464735	0.7243947858472998	0.958204334365325	0.7256056330884239
