	params	train_accuracy	train_sensitivity	train_specificity	validation_accuracy	validation_sensitivity	validation_specificity
60	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9671862182116489	0.9017076218242399	0.9928245270711024	0.9453253143794423	0.8566108007448789	0.9821981424148607
65	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9669518340560178	0.9017076218242399	0.992498369210698	0.9453253143794423	0.8566108007448789	0.9821981424148607
145	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9673034102894644	0.9029571012078301	0.992498369210698	0.9447785675232367	0.8547486033519553	0.9821981424148607
140	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9669518340560178	0.9000416493127863	0.9931506849315068	0.9442318206670312	0.8528864059590316	0.9821981424148607
141	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9702332122348529	0.9058725531028738	0.9954337899543378	0.9442318206670312	0.8528864059590316	0.9821981424148607
61	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9699988280792219	0.9046230737192836	0.9955968688845401	0.9442318206670312	0.8547486033519553	0.9814241486068112
149	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.961326614320872	0.8912952936276551	0.988747553816047	0.9436850738108256	0.8528864059590316	0.9814241486068112
69	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9614438063986874	0.8912952936276551	0.9889106327462491	0.9425915800984145	0.851024208566108	0.9806501547987616
73	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9596859252314544	0.8862973760932945	0.9884213959556425	0.9420448332422089	0.8491620111731844	0.9806501547987616
64	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9608578460096098	0.8896293211162016	0.988747553816047	0.9420448332422089	0.851024208566108	0.9798761609907121
153	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9593343489980077	0.8854643898375677	0.9882583170254403	0.9414980863860033	0.8491620111731844	0.9798761609907121
144	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9605062697761632	0.8892128279883382	0.9884213959556425	0.9414980863860033	0.8491620111731844	0.9798761609907121
125	{'n_estimators': 1000, 'max_depth': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9585140044532989	0.8792169929196169	0.9895629484670581	0.9409513395297977	0.845437616387337	0.9806501547987616
