	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
4	{'penalty': 'l2', 'solver': 'liblinear', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9518749051161378	0.9139167862266858	0.9563667232597624	0.7816195968715741	0.9461374911410347	0.8709677419354839	0.9554140127388535	0.7553440105350469
9	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9518749051161378	0.9139167862266858	0.9563667232597624	0.7816195968715741	0.9461374911410347	0.8709677419354839	0.9554140127388535	0.7553440105350469
3	{'penalty': 'l2', 'solver': 'liblinear', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9521785334750266	0.9096126255380201	0.9572156196943973	0.7814743162636678	0.9454287739192062	0.8709677419354839	0.9546178343949044	0.7529572138459439
8	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9521785334750266	0.9096126255380201	0.9572156196943973	0.7814743162636678	0.9454287739192062	0.8709677419354839	0.9546178343949044	0.7529572138459439
7	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9494458782450281	0.8938307030129125	0.9560271646859083	0.7676410995161516	0.9390503189227498	0.8516129032258064	0.9498407643312102	0.7261979126587044
2	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9470168513739183	0.896700143472023	0.9529711375212224	0.7602500763780968	0.9376328844790929	0.8580645161290322	0.947452229299363	0.7236980356548893
6	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9454987095794747	0.8852223816355811	0.9526315789473684	0.7517857089428186	0.930545712260808	0.832258064516129	0.9426751592356688	0.6933208100172248
1	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9319872476089267	0.9024390243902439	0.9354838709677419	0.7156377730370863	0.9149539333805812	0.8580645161290322	0.9219745222929936	0.6592194513527292
5	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.937604372248368	0.8651362984218077	0.9461799660441426	0.7199356818165585	0.920623671155209	0.8064516129032258	0.9347133757961783	0.6550540686153042
0	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.8238955518445423	0.9282639885222381	0.8115449915110357	0.5145578272858553	0.7951807228915663	0.9161290322580645	0.7802547770700637	0.4769211352028356
