	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
2	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9269893355209188	0.897542690545606	0.9385192433137639	0.8229850373434674	0.9267359212684527	0.9087523277467412	0.9342105263157895	0.8276652213653195
7	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9268721434431032	0.8971261974177426	0.9385192433137639	0.8226690011034674	0.9267359212684527	0.9087523277467412	0.9342105263157895	0.8276652213653195
3	{'penalty': 'l2', 'solver': 'liblinear', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9294503691550451	0.9021241149521033	0.940150032615786	0.8290054847236652	0.9261891744122471	0.9124767225325885	0.9318885448916409	0.8270965058735295
4	{'penalty': 'l2', 'solver': 'liblinear', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9294503691550451	0.9021241149521033	0.940150032615786	0.8290054847236652	0.9261891744122471	0.9124767225325885	0.9318885448916409	0.8270965058735295
8	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9294503691550451	0.9021241149521033	0.940150032615786	0.8290054847236652	0.9261891744122471	0.9124767225325885	0.9318885448916409	0.8270965058735295
9	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9294503691550451	0.9021241149521033	0.940150032615786	0.8290054847236652	0.9261891744122471	0.9124767225325885	0.9318885448916409	0.8270965058735295
1	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9248798781202391	0.8908788004997917	0.9381930854533594	0.8174169946603634	0.9207217058501913	0.88268156424581	0.9365325077399381	0.8110809586777695
6	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9265205672096566	0.8721366097459392	0.9478147423352903	0.8186087453603694	0.9190814652815746	0.8584729981378026	0.9442724458204335	0.8045075863623432
5	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9112855970936364	0.7992503123698459	0.9551532941943901	0.7761974677489126	0.900492072170585	0.776536312849162	0.9520123839009288	0.7546443839381156
0	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.8919489042540725	0.8862973760932945	0.8941617742987606	0.749029629359992	0.8911973756150902	0.8789571694599627	0.8962848297213623	0.7500775237337496
