	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
30	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9681237548341732	0.9554352353186173	0.973091976516634	0.9218815659291101	0.9480590486604702	0.9273743016759777	0.9566563467492261	0.8761445155830057
31	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9680065627563577	0.9629321116201582	0.9699934768427919	0.9221706161577021	0.946965554948059	0.931098696461825	0.9535603715170279	0.8741168833884252
21	{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.95113090355092	0.946688879633486	0.9528701891715591	0.882498022778436	0.9458720612356479	0.9404096834264432	0.9481424148606811	0.872842015005652
20	{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9533575530294152	0.9416909620991254	0.9579256360078278	0.8868676573243292	0.9458720612356479	0.931098696461825	0.9520123839009288	0.8717205181574499
33	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9627329192546584	0.9587671803415244	0.9642857142857143	0.9097620840467092	0.9442318206670312	0.9329608938547486	0.9489164086687306	0.8683710927925964
22	{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9504277510840268	0.9408579758433986	0.9541748206131768	0.8802319035883726	0.9436850738108256	0.9366852886405959	0.9465944272445821	0.8676628511856953
23	{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9504277510840268	0.9450229071220325	0.9525440313111546	0.8807400797950777	0.9436850738108256	0.9348230912476723	0.9473684210526315	0.8674230966990439
32	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9607406539317942	0.9533527696793003	0.9636333985649054	0.9047233659778355	0.9436850738108256	0.9273743016759777	0.9504643962848297	0.8665161401108502
35	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9579280440642213	0.9550187421907539	0.9590671885192433	0.8985628672339722	0.94313832695462	0.9348230912476723	0.9465944272445821	0.8662469191274095
37	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9528887847181531	0.9529362765514369	0.9528701891715591	0.8871519585993602	0.9420448332422089	0.9404096834264432	0.9427244582043344	0.8646707860568457
25	{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9469119887495605	0.9429404414827155	0.9484670580560991	0.8727616253497967	0.9420448332422089	0.9404096834264432	0.9427244582043344	0.8646707860568457
34	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9544122817297551	0.9450229071220325	0.95808871493803	0.8895965607926503	0.9420448332422089	0.9366852886405959	0.9442724458204335	0.8641532784741295
27	{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9450369155045119	0.9446064139941691	0.9452054794520548	0.8689287049787559	0.9404045926735921	0.9422718808193669	0.9396284829721362	0.8614832190023937
38	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.945505683815774	0.9404414827155352	0.9474885844748858	0.8693569316378881	0.9398578458173865	0.9422718808193669	0.9388544891640866	0.8603367514567042
