chrom	start	end	stain	ISV_loss	ISV_gain
chr1	0	1000000	gneg	0.047198363	0.005146106
chr1	1000000	2000000	gneg	0.99398875	0.9794505
chr1	3000000	4000000	gpos25	0.9973502	0.99623483
chr1	4000000	5000000	gpos25	0.94802374	0.10161075
chr1	6000000	7000000	gneg	0.9995999	0.9806096
chr1	8000000	9000000	gpos25	0.995786	0.45871764
chr1	10000000	11000000	gneg	0.99920696	0.99452436
chr1	11000000	12000000	gneg	0.996822	0.98173577
chr1	13000000	14000000	gpos50	0.066799216	0.0034792125
chr1	14000000	15000000	gpos50	0.9496627	0.5357727
chr1	16000000	17000000	gneg	0.9983783	0.97714376
chr1	17000000	18000000	gneg	0.9985185	0.95523846
chr1	18000000	19000000	gneg	0.9908165	0.9433474
chr1	19000000	20000000	gneg	0.9927471	0.85169065
chr1	21000000	22000000	gpos25	0.99809927	0.6929544
chr1	22000000	23000000	gpos25	0.99975854	0.99322635
chr1	24000000	25000000	gneg	0.99577266	0.991598
chr1	25000000	26000000	gneg	0.9991204	0.9957373
chr1	26000000	27000000	gneg	0.9955798	0.9964779
chr1	28000000	29000000	gpos25	0.9676682	0.84809846
chr1	30000000	31000000	gneg	0.99514943	0.97922176
chr1	31000000	32000000	gneg	0.9973242	0.9822093
chr1	33000000	34000000	gpos25	0.99629223	0.92674035
chr1	35000000	36000000	gneg	0.9369008	0.078463316
chr1	36000000	37000000	gneg	0.9975037	0.97474664
chr1	37000000	38000000	gneg	0.9979697	0.9765678
chr1	38000000	39000000	gneg	0.99834883	0.99672616
chr1	40000000	41000000	gpos25	0.99789584	0.98378676
chr1	41000000	42000000	gpos25	0.9862385	0.51632535
chr1	42000000	43000000	gpos25	0.9953673	0.117464274
chr1	44000000	45000000	gneg	0.9972414	0.9721467
chr1	45000000	46000000	gneg	0.7917115	0.312445
chr1	47000000	48000000	gpos75	0.9988154	0.96699244
chr1	48000000	49000000	gpos75	0.9375934	0.061330464
chr1	49000000	50000000	gpos75	0.20832436	0.001655535
chr1	51000000	52000000	gneg	0.9428967	0.8120802
chr1	52000000	53000000	gneg	0.96006596	0.44819695
chr1	53000000	54000000	gneg	0.99470586	0.9256819
chr1	54000000	55000000	gneg	0.98796785	0.99101514
chr1	56000000	57000000	gpos50	0.9956565	0.22270766
chr1	57000000	58000000	gpos50	0.82313263	0.65097547
chr1	59000000	60000000	gneg	0.99831605	0.6268228
chr1	61000000	62000000	gpos50	0.9987998	0.7851671
chr1	62000000	63000000	gpos50	0.9858143	0.83249646
chr1	63000000	64000000	gpos50	0.9893428	0.87505865
chr1	64000000	65000000	gpos50	0.95789254	0.7280879
chr1	65000000	66000000	gpos50	0.99182665	0.89692897
chr1	66000000	67000000	gpos50	0.96717614	0.044883877
chr1	67000000	68000000	gpos50	0.98174965	0.63757837
chr1	70000000	71000000	gpos100	0.9698335	0.4982953
chr1	71000000	72000000	gpos100	0.91197246	0.549534
chr1	72000000	73000000	gpos100	0.32334787	0.013312346
chr1	73000000	74000000	gpos100	0.16030002	0.022639982
chr1	74000000	75000000	gpos100	0.86609346	0.048106104
chr1	75000000	76000000	gpos100	0.6848052	0.2690234
chr1	76000000	77000000	gpos100	0.798796	0.07702066
chr1	77000000	78000000	gpos100	0.95506704	0.19916582
chr1	78000000	79000000	gpos100	0.7952824	0.007969064
chr1	79000000	80000000	gpos100	0.96674746	0.08430923
chr1	80000000	81000000	gpos100	0.09116456	0.0062999274
chr1	81000000	82000000	gpos100	0.60326123	0.022273254
chr1	82000000	83000000	gpos100	0.45898136	0.011702866
chr1	83000000	84000000	gpos100	0.8785239	0.7258295
chr1	85000000	86000000	gneg	0.9889038	0.20950764
chr1	86000000	87000000	gneg	0.9443689	0.08507204
chr1	88000000	89000000	gpos75	0.7856658	0.017624324
chr1	89000000	90000000	gpos75	0.51509297	0.016602525
chr1	90000000	91000000	gpos75	0.9387477	0.5761176
chr1	92000000	93000000	gneg	0.97434664	0.26477388
chr1	93000000	94000000	gneg	0.80199265	0.22963764
chr1	95000000	96000000	gpos75	0.9818141	0.5426802
chr1	96000000	97000000	gpos75	0.8512625	0.0691048
chr1	97000000	98000000	gpos75	0.9437114	0.056315765
chr1	98000000	99000000	gpos75	0.9649476	0.1500145
chr1	100000000	101000000	gneg	0.996585	0.78401715
chr1	102000000	103000000	gpos100	0.24964078	0.053822793
chr1	103000000	104000000	gpos100	0.09517402	0.033347074
chr1	104000000	105000000	gpos100	0.037220594	0.002475411
chr1	105000000	106000000	gpos100	0.0357292	0.0019557062
chr1	107000000	108000000	gneg	0.94491917	0.86815816
